Number,Country,Population,Subregion
1,India,1450935791,Southern Asia
2,China,1419321278,Eastern Asia
3,Indonesia,283487931,South-Eastern Asia
4,Pakistan,251269164,Southern Asia
5,Bangladesh,173562364,Southern Asia
6,Japan,123753041,Eastern Asia
7,Philippines,115843670,South-Eastern Asia
8,Vietnam,100987686,South-Eastern Asia
9,Iran,91567738,Southern Asia
10,Turkey,87473805,Western Asia
11,Thailand,71668011,South-Eastern Asia
12,Myanmar,54500091,South-Eastern Asia
13,South Korea,51717590,Eastern Asia
14,Iraq,46042015,Western Asia
15,Afghanistan,42647492,Southern Asia
16,Yemen,40583164,Western Asia
17,Uzbekistan,36361859,Central Asia
18,Malaysia,35557673,South-Eastern Asia
19,Saudi Arabia,33962757,Western Asia
20,Nepal,29651054,Southern Asia
21,North Korea,26498823,Eastern Asia
22,Syria,24672760,Western Asia
23,Sri Lanka,23103565,Southern Asia
24,Kazakhstan,20592571,Central Asia
25,Cambodia,17638801,South-Eastern Asia
26,Jordan,11552876,Western Asia
27,United Arab Emirates,11027129,Western Asia
28,Tajikistan,10590927,Central Asia
29,Azerbaijan,10336577,Western Asia
30,Israel,9387021,Western Asia
31,Laos,7769819,South-Eastern Asia
32,Turkmenistan,7494498,Central Asia
33,Kyrgyzstan,7186009,Central Asia
34,Singapore,5832387,South-Eastern Asia
35,Lebanon,5805962,Western Asia
36,State of Palestine,5495443,Western Asia
37,Oman,5281538,Western Asia
38,Kuwait,4934507,Western Asia
39,Georgia,3807670,Western Asia
40,Mongolia,3475540,Eastern Asia
41,Qatar,3048423,Western Asia
42,Armenia,2973840,Western Asia
43,Bahrain,1607049,Western Asia
44,Timor-Leste,1400638,South-Eastern Asia
45,Cyprus,1358282,Western Asia
46,Bhutan,791524,Southern Asia
47,Maldives,527799,Southern Asia
48,Brunei,462721,South-Eastern Asia
